Year	Month	Days	Jday	Seasons
1996	1	31	1	1
1996	2	29	32	1
1996	3	31	61	2
1996	4	30	92	2
1996	5	31	122	2
1996	6	30	153	3
1996	7	31	183	3
1996	8	31	214	3
1996	9	30	245	4
1996	10	31	275	4
1996	11	30	306	4
1996	12	31	336	1
1997	1	31	1	1
1997	2	28	32	1
1997	3	31	60	2
1997	4	30	91	2
1997	5	31	121	2
1997	6	30	152	3
1997	7	31	182	3
1997	8	31	213	3
1997	9	30	244	4
1997	10	31	274	4
1997	11	30	305	4
1997	12	31	335	1
1998	1	31	1	1
1998	2	28	32	1
1998	3	31	60	2
1998	4	30	91	2
1998	5	31	121	2
1998	6	30	152	3
1998	7	31	182	3
1998	8	31	213	3
1998	9	30	244	4
1998	10	31	274	4
1998	11	30	305	4
1998	12	31	335	1
1999	1	31	1	1
1999	2	28	32	1
1999	3	31	60	2
1999	4	30	91	2
1999	5	31	121	2
1999	6	30	152	3
1999	7	31	182	3
1999	8	31	213	3
1999	9	30	244	4
1999	10	31	274	4
1999	11	30	305	4
1999	12	31	335	1
2000	1	31	1	1
2000	2	29	32	1
2000	3	31	61	2
2000	4	30	92	2
2000	5	31	122	2
2000	6	30	153	3
2000	7	31	183	3
2000	8	31	214	3
2000	9	30	245	4
2000	10	31	275	4
2000	11	30	306	4
2000	12	31	336	1
2001	1	31	1	1
2001	2	28	32	1
2001	3	31	60	2
2001	4	30	91	2
2001	5	31	121	2
2001	6	30	152	3
2001	7	31	182	3
2001	8	31	213	3
2001	9	30	244	4
2001	10	31	274	4
2001	11	30	305	4
2001	12	31	335	1
2002	1	31	1	1
2002	2	28	32	1
2002	3	31	60	2
2002	4	30	91	2
2002	5	31	121	2
2002	6	30	152	3
2002	7	31	182	3
2002	8	31	213	3
2002	9	30	244	4
2002	10	31	274	4
2002	11	30	305	4
2002	12	31	335	1
2003	1	31	1	1
2003	2	28	32	1
2003	3	31	60	2
2003	4	30	91	2
2003	5	31	121	2
2003	6	30	152	3
2003	7	31	182	3
2003	8	31	213	3
2003	9	30	244	4
2003	10	31	274	4
2003	11	30	305	4
2003	12	31	335	1
2004	1	31	1	1
2004	2	29	32	1
2004	3	31	61	2
2004	4	30	92	2
2004	5	31	122	2
2004	6	30	153	3
2004	7	31	183	3
2004	8	31	214	3
2004	9	30	245	4
2004	10	31	275	4
2004	11	30	306	4
2004	12	31	336	1
2005	1	31	1	1
2005	2	28	32	1
2005	3	31	60	2
2005	4	30	91	2
2005	5	31	121	2
2005	6	30	152	3
2005	7	31	182	3
2005	8	31	213	3
2005	9	30	244	4
2005	10	31	274	4
2005	11	30	305	4
2005	12	31	335	1
2006	1	31	1	1
2006	2	28	32	1
2006	3	31	60	2
2006	4	30	91	2
2006	5	31	121	2
2006	6	30	152	3
2006	7	31	182	3
2006	8	31	213	3
2006	9	30	244	4
2006	10	31	274	4
2006	11	30	305	4
2006	12	31	335	1
2007	1	31	1	1
2007	2	28	32	1
2007	3	31	60	2
2007	4	30	91	2
2007	5	31	121	2
2007	6	30	152	3
2007	7	31	182	3
2007	8	31	213	3
2007	9	30	244	4
2007	10	31	274	4
2007	11	30	305	4
2007	12	31	335	1
2008	1	31	1	1
2008	2	29	32	1
2008	3	31	61	2
2008	4	30	92	2
2008	5	31	122	2
2008	6	30	153	3
2008	7	31	183	3
2008	8	31	214	3
2008	9	30	245	4
2008	10	31	275	4
2008	11	30	306	4
2008	12	31	336	1
2009	1	31	1	1
2009	2	28	32	1
2009	3	31	60	2
2009	4	30	91	2
2009	5	31	121	2
2009	6	30	152	3
2009	7	31	182	3
2009	8	31	213	3
2009	9	30	244	4
2009	10	31	274	4
2009	11	30	305	4
2009	12	31	335	1
2010	1	31	1	1
2010	2	28	32	1
2010	3	31	60	2
2010	4	30	91	2
2010	5	31	121	2
2010	6	30	152	3
2010	7	31	182	3
2010	8	31	213	3
2010	9	30	244	4
2010	10	31	274	4
2010	11	30	305	4
2010	12	31	335	1
2011	1	31	1	1
2011	2	28	32	1
2011	3	31	60	2
2011	4	30	91	2
2011	5	31	121	2
2011	6	30	152	3
2011	7	31	182	3
2011	8	31	213	3
2011	9	30	244	4
2011	10	31	274	4
2011	11	30	305	4
2011	12	31	335	1
2012	1	31	1	1
2012	2	29	32	1
2012	3	31	61	2
2012	4	30	92	2
2012	5	31	122	2
2012	6	30	153	3
2012	7	31	183	3
2012	8	31	214	3
2012	9	30	245	4
2012	10	31	275	4
2012	11	30	306	4
2012	12	31	336	1
2013	1	31	1	1
2013	2	28	32	1
2013	3	31	60	2
2013	4	30	91	2
2013	5	31	121	2
2013	6	30	152	3
2013	7	31	182	3
2013	8	31	213	3
2013	9	30	244	4
2013	10	31	274	4
2013	11	30	305	4
2013	12	31	335	1
2014	1	31	1	1
2014	2	28	32	1
2014	3	31	60	2
2014	4	30	91	2
2014	5	31	121	2
2014	6	30	152	3
2014	7	31	182	3
2014	8	31	213	3
2014	9	30	244	4
2014	10	31	274	4
2014	11	30	305	4
2014	12	31	335	1
2015	1	31	1	1
2015	2	28	32	1
2015	3	31	60	2
2015	4	30	91	2
2015	5	31	121	2
2015	6	30	152	3
2015	7	31	182	3
2015	8	31	213	3
2015	9	30	244	4
2015	10	31	274	4
2015	11	30	305	4
2015	12	31	335	1
2016	1	31	1	1
2016	2	29	32	1
2016	3	31	61	2
2016	4	30	92	2
2016	5	31	122	2
2016	6	30	153	3
2016	7	31	183	3
2016	8	31	214	3
2016	9	30	245	4
2016	10	31	275	4
2016	11	30	306	4
2016	12	31	336	1
2017	1	31	1	1
2017	2	28	32	1
2017	3	31	60	2
2017	4	30	91	2
2017	5	31	121	2
2017	6	30	152	3
2017	7	31	182	3
2017	8	31	213	3
2017	9	30	244	4
2017	10	31	274	4
2017	11	30	305	4
2017	12	31	335	1
2018	1	31	1	1
2018	2	28	32	1
2018	3	31	60	2
2018	4	30	91	2
2018	5	31	121	2
2018	6	30	152	3
2018	7	31	182	3
2018	8	31	213	3
2018	9	30	244	4
2018	10	31	274	4
2018	11	30	305	4
2018	12	31	335	1
2019	1	31	1	1
2019	2	28	32	1
2019	3	31	60	2
2019	4	30	91	2
2019	5	31	121	2
2019	6	30	152	3
2019	7	31	182	3
2019	8	31	213	3
2019	9	30	244	4
2019	10	31	274	4
2019	11	30	305	4
2019	12	31	335	1
2020	1	31	1	1
2020	2	29	32	1
2020	3	31	61	2
2020	4	30	92	2
2020	5	31	122	2
2020	6	30	153	3
2020	7	31	183	3
2020	8	31	214	3
2020	9	30	245	4
2020	10	31	275	4
2020	11	30	306	4
2020	12	31	336	1
2021	1	31	1	1
2021	2	28	32	1
2021	3	31	60	2
2021	4	30	91	2
2021	5	31	121	2
2021	6	30	152	3
2021	7	31	182	3
2021	8	31	213	3
2021	9	30	244	4
2021	10	31	274	4
2021	11	30	305	4
2021	12	31	335	1
2022	1	31	1	1
2022	2	28	32	1
2022	3	31	60	2
2022	4	30	91	2
2022	5	31	121	2
2022	6	30	152	3
2022	7	31	182	3
2022	8	31	213	3
2022	9	30	244	4
2022	10	31	274	4
2022	11	30	305	4
2022	12	31	335	1
2023	1	31	1	1
2023	2	28	32	1
2023	3	31	60	2
2023	4	30	91	2
2023	5	31	121	2
2023	6	30	152	3
2023	7	31	182	3
2023	8	31	213	3
2023	9	30	244	4
2023	10	31	274	4
2023	11	30	305	4
2023	12	31	335	1
2024	1	31	1	1
2024	2	29	32	1
2024	3	31	61	2
2024	4	30	92	2
2024	5	31	122	2
2024	6	30	153	3
2024	7	31	183	3
2024	8	31	214	3
2024	9	30	245	4
2024	10	31	275	4
2024	11	30	306	4
2024	12	31	336	1
2025	1	31	1	1
2025	2	28	32	1
2025	3	31	60	2
2025	4	30	91	2
2025	5	31	121	2
2025	6	30	152	3
2025	7	31	182	3
2025	8	31	213	3
2025	9	30	244	4
2025	10	31	274	4
2025	11	30	305	4
2025	12	31	335	1
2026	1	31	1	1
2026	2	28	32	1
2026	3	31	60	2
2026	4	30	91	2
2026	5	31	121	2
2026	6	30	152	3
2026	7	31	182	3
2026	8	31	213	3
2026	9	30	244	4
2026	10	31	274	4
2026	11	30	305	4
2026	12	31	335	1
2027	1	31	1	1
2027	2	28	32	1
2027	3	31	60	2
2027	4	30	91	2
2027	5	31	121	2
2027	6	30	152	3
2027	7	31	182	3
2027	8	31	213	3
2027	9	30	244	4
2027	10	31	274	4
2027	11	30	305	4
2027	12	31	335	1
2028	1	31	1	1
2028	2	29	32	1
2028	3	31	61	2
2028	4	30	92	2
2028	5	31	122	2
2028	6	30	153	3
2028	7	31	183	3
2028	8	31	214	3
2028	9	30	245	4
2028	10	31	275	4
2028	11	30	306	4
2028	12	31	336	1
2029	1	31	1	1
2029	2	28	32	1
2029	3	31	60	2
2029	4	30	91	2
2029	5	31	121	2
2029	6	30	152	3
2029	7	31	182	3
2029	8	31	213	3
2029	9	30	244	4
2029	10	31	274	4
2029	11	30	305	4
2029	12	31	335	1
2030	1	31	1	1
2030	2	28	32	1
2030	3	31	60	2
2030	4	30	91	2
2030	5	31	121	2
2030	6	30	152	3
2030	7	31	182	3
2030	8	31	213	3
2030	9	30	244	4
2030	10	31	274	4
2030	11	30	305	4
2030	12	31	335	1
2031	1	31	1	1
2031	2	28	32	1
2031	3	31	60	2
2031	4	30	91	2
2031	5	31	121	2
2031	6	30	152	3
2031	7	31	182	3
2031	8	31	213	3
2031	9	30	244	4
2031	10	31	274	4
2031	11	30	305	4
2031	12	31	335	1
2032	1	31	1	1
2032	2	29	32	1
2032	3	31	61	2
2032	4	30	92	2
2032	5	31	122	2
2032	6	30	153	3
2032	7	31	183	3
2032	8	31	214	3
2032	9	30	245	4
2032	10	31	275	4
2032	11	30	306	4
2032	12	31	336	1
2033	1	31	1	1
2033	2	28	32	1
2033	3	31	60	2
2033	4	30	91	2
2033	5	31	121	2
2033	6	30	152	3
2033	7	31	182	3
2033	8	31	213	3
2033	9	30	244	4
2033	10	31	274	4
2033	11	30	305	4
2033	12	31	335	1
2034	1	31	1	1
2034	2	28	32	1
2034	3	31	60	2
2034	4	30	91	2
2034	5	31	121	2
2034	6	30	152	3
2034	7	31	182	3
2034	8	31	213	3
2034	9	30	244	4
2034	10	31	274	4
2034	11	30	305	4
2034	12	31	335	1
2035	1	31	1	1
2035	2	28	32	1
2035	3	31	60	2
2035	4	30	91	2
2035	5	31	121	2
2035	6	30	152	3
2035	7	31	182	3
2035	8	31	213	3
2035	9	30	244	4
2035	10	31	274	4
2035	11	30	305	4
2035	12	31	335	1
2036	1	31	1	1
2036	2	29	32	1
2036	3	31	61	2
2036	4	30	92	2
2036	5	31	122	2
2036	6	30	153	3
2036	7	31	183	3
2036	8	31	214	3
2036	9	30	245	4
2036	10	31	275	4
2036	11	30	306	4
2036	12	31	336	1
2037	1	31	1	1
2037	2	28	32	1
2037	3	31	60	2
2037	4	30	91	2
2037	5	31	121	2
2037	6	30	152	3
2037	7	31	182	3
2037	8	31	213	3
2037	9	30	244	4
2037	10	31	274	4
2037	11	30	305	4
2037	12	31	335	1
2038	1	31	1	1
2038	2	28	32	1
2038	3	31	60	2
2038	4	30	91	2
2038	5	31	121	2
2038	6	30	152	3
2038	7	31	182	3
2038	8	31	213	3
2038	9	30	244	4
2038	10	31	274	4
2038	11	30	305	4
2038	12	31	335	1
2039	1	31	1	1
2039	2	28	32	1
2039	3	31	60	2
2039	4	30	91	2
2039	5	31	121	2
2039	6	30	152	3
2039	7	31	182	3
2039	8	31	213	3
2039	9	30	244	4
2039	10	31	274	4
2039	11	30	305	4
2039	12	31	335	1
2040	1	31	1	1
